index,Order ID,Date,Status,Fulfilment,Sales Channel,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by
24,ORD100024,2024-02-14 21:26:51,Cancelled,Amazon,Online,Expedited,Casual,SKU3560,Accessories,XL,B065695,Delayed,3,INR,1340.59,Kimberlychester,Idaho,54189,USA,PROMO10,Yes,Seller
25,ORD100025,2023-06-15 01:25:56,Pending,Amazon,Offline,Standard,Formal,SKU9222,Accessories,XXL,B099391,Returned,3,INR,1989.37,Port Michaelland,Alabama,29465,USA,PROMO10,No,Seller
26,ORD100026,2024-04-25 08:23:40,Shipped,Merchant,Online,Standard,Ethnic,SKU4405,Footwear,L,B051471,Delivered,2,INR,1223.53,Tanyafurt,Washington,88252,India,PROMO30,No,Amazon
27,ORD100027,2025-04-20 09:32:53,Cancelled,Merchant,Offline,Standard,Sports,SKU9722,Electronics,S,B094785,Returned,1,INR,1873.77,Chadburgh,Georgia,30941,USA,,No,Amazon
28,ORD100028,2023-08-28 13:27:01,Cancelled,Merchant,Online,Expedited,Formal,SKU8268,Accessories,XL,B075213,Returned,5,INR,2226.68,Charleston,Washington,33993,USA,,Yes,Seller
29,ORD100029,2023-12-07 22:11:01,Cancelled,Merchant,Offline,Same Day,Ethnic,SKU3148,Footwear,XXL,B028216,In Transit,1,INR,2838.58,East Nicholas,Utah,55880,India,PROMO30,No,Amazon
30,ORD100030,2024-06-09 16:18:32,Pending,Merchant,Online,Same Day,Formal,SKU1938,Clothing,M,B040181,Returned,1,INR,1345.69,Williamsonville,Oklahoma,97752,India,PROMO30,Yes,Amazon
31,ORD100031,2024-12-28 09:05:37,Cancelled,Amazon,Online,Standard,Sports,SKU5351,Footwear,S,B086022,Delivered,1,INR,2109.34,Jacobsonfort,Maine,22641,USA,PROMO30,No,Seller
32,ORD100032,2023-08-06 14:03:30,Shipped,Amazon,Offline,Same Day,Ethnic,SKU1514,Accessories,L,B044106,Delayed,5,USD,888.64,Denisefurt,North Dakota,28185,India,,Yes,Seller
33,ORD100033,2024-04-06 04:01:40,Shipped,Merchant,Online,Standard,Casual,SKU2436,Accessories,M,B035442,Delayed,3,USD,734.28,Jamesberg,New Jersey,75272,India,PROMO20,Yes,Seller
34,ORD100034,2024-07-26 16:01:02,Shipped,Amazon,Offline,Expedited,Casual,SKU8587,Accessories,M,B017755,Returned,2,INR,315.77,Lake Jacob,Kansas,15542,India,PROMO30,No,Seller
35,ORD100035,2024-09-23 21:06:03,Cancelled,Amazon,Offline,Same Day,Sports,SKU2738,Footwear,L,B030248,Returned,3,INR,4896.97,Austinmouth,New York,17646,USA,PROMO30,Yes,Seller
36,ORD100036,2024-08-05 16:04:44,Shipped,Amazon,Online,Standard,Sports,SKU8368,Clothing,L,B046891,Delivered,2,USD,1328.76,East Andrew,Idaho,87521,USA,PROMO20,Yes,Amazon
37,ORD100037,2024-09-01 03:00:42,Cancelled,Merchant,Online,Expedited,Casual,SKU3625,Accessories,L,B065407,Delivered,4,USD,2952.0,East Joshuafurt,Maine,30588,India,PROMO10,Yes,Seller
38,ORD100038,2023-12-21 06:13:08,Shipped,Merchant,Offline,Expedited,Ethnic,SKU3721,Electronics,S,B032292,In Transit,2,INR,856.79,Lake Lisatown,North Carolina,55826,USA,,Yes,Amazon
39,ORD100039,2024-05-01 13:18:46,Pending,Amazon,Online,Same Day,Sports,SKU5089,Accessories,L,B015291,Delayed,4,INR,3399.08,Paulaville,New Mexico,04253,India,PROMO30,No,Seller
40,ORD100040,2023-07-28 15:09:04,Cancelled,Amazon,Offline,Standard,Casual,SKU5431,Clothing,S,B075884,In Transit,1,USD,2745.02,New Christopherbury,Ohio,96070,India,PROMO30,No,Amazon
41,ORD100041,2024-01-31 02:33:06,Shipped,Amazon,Online,Expedited,Formal,SKU1072,Footwear,XL,B071313,Delivered,5,USD,3351.42,New Bradleymouth,Nebraska,84960,India,PROMO20,Yes,Seller
42,ORD100042,2024-12-09 12:47:17,Cancelled,Amazon,Online,Expedited,Ethnic,SKU5345,Electronics,L,B062834,Returned,2,USD,1461.25,North Virginiafort,Florida,68930,India,,Yes,Amazon
43,ORD100043,2023-07-27 23:26:25,Shipped,Amazon,Offline,Same Day,Casual,SKU4893,Accessories,M,B084426,In Transit,4,INR,1901.96,Port Ashleyland,Rhode Island,71700,India,PROMO30,No,Amazon
44,ORD100044,2023-10-04 03:04:36,Pending,Amazon,Online,Expedited,Ethnic,SKU1465,Accessories,XL,B021916,In Transit,1,INR,2018.01,Lake Oliviastad,California,28055,USA,,No,Seller
45,ORD100045,2024-12-29 16:30:13,Pending,Amazon,Offline,Expedited,Casual,SKU9983,Electronics,XXL,B038458,In Transit,2,USD,1379.97,West Linda,Texas,85374,India,PROMO10,No,Amazon
46,ORD100046,2024-03-08 08:43:06,Cancelled,Merchant,Online,Standard,Sports,SKU5772,Footwear,XXL,B015054,Delayed,5,INR,776.37,North Tannerton,Virginia,67552,India,,Yes,Seller
47,ORD100047,2024-10-03 23:24:41,Shipped,Amazon,Offline,Standard,Formal,SKU6716,Clothing,S,B098423,Delayed,1,INR,2188.38,South Tiffany,Missouri,87604,India,PROMO30,No,Amazon
48,ORD100048,2023-12-17 04:38:37,Cancelled,Amazon,Online,Standard,Casual,SKU3903,Footwear,L,B096903,Delayed,2,USD,4370.87,Cookborough,California,82338,USA,PROMO20,No,Amazon
49,ORD100049,2024-11-12 10:59:35,Cancelled,Merchant,Online,Same Day,Casual,SKU5568,Clothing,M,B049092,Delayed,1,INR,2890.46,Zacharyfurt,Virginia,33806,India,PROMO30,No,Amazon
50,ORD100050,2024-06-10 22:44:38,Pending,Amazon,Online,Standard,Formal,SKU8709,Accessories,XL,B058565,In Transit,5,INR,961.99,Marystad,South Carolina,84805,India,PROMO20,Yes,Seller
51,ORD100051,2025-01-16 13:48:35,Cancelled,Amazon,Offline,Standard,Sports,SKU6312,Electronics,XXL,B088151,Delayed,4,USD,3413.25,East Casey,California,26130,India,PROMO30,No,Amazon
52,ORD100052,2023-07-12 00:31:11,Shipped,Amazon,Offline,Expedited,Formal,SKU7651,Clothing,XL,B082887,Delayed,2,USD,3612.69,Stephensborough,Wisconsin,08190,India,,Yes,Amazon
53,ORD100053,2024-05-07 07:40:10,Pending,Merchant,Offline,Same Day,Sports,SKU5316,Clothing,XL,B030313,Delivered,1,USD,2984.82,Lake Roberttown,Ohio,17596,India,PROMO20,No,Amazon
54,ORD100054,2023-12-28 02:58:45,Pending,Amazon,Online,Expedited,Formal,SKU5758,Electronics,M,B023960,Returned,1,USD,3992.42,Joelberg,Wisconsin,33310,India,PROMO30,Yes,Amazon
55,ORD100055,2023-07-19 00:01:56,Cancelled,Amazon,Online,Expedited,Formal,SKU8342,Clothing,XXL,B067921,Returned,5,USD,3752.53,North Charles,Rhode Island,60700,India,PROMO20,No,Amazon
56,ORD100056,2025-03-01 02:12:25,Pending,Merchant,Online,Expedited,Casual,SKU6424,Clothing,XXL,B052253,Delayed,3,INR,4466.7,West Arthurview,Arizona,68934,India,PROMO30,Yes,Seller
57,ORD100057,2025-03-05 15:12:35,Pending,Amazon,Offline,Standard,Sports,SKU4799,Accessories,XL,B053469,In Transit,1,USD,2850.44,Leahland,Texas,48128,India,,Yes,Amazon
58,ORD100058,2025-01-11 05:09:12,Cancelled,Merchant,Online,Expedited,Formal,SKU2511,Electronics,M,B017367,Returned,3,INR,3721.83,West James,Pennsylvania,56881,USA,PROMO10,No,Amazon
59,ORD100059,2024-12-06 04:26:17,Pending,Merchant,Online,Expedited,Sports,SKU1747,Accessories,S,B042053,Returned,3,INR,2905.27,East Stephanie,New Hampshire,67973,India,PROMO30,Yes,Amazon
60,ORD100060,2025-02-13 20:50:52,Shipped,Amazon,Offline,Standard,Sports,SKU9247,Electronics,L,B057242,Delivered,1,USD,394.78,West Susanview,California,79649,India,PROMO20,Yes,Amazon
61,ORD100061,2024-03-11 15:59:14,Pending,Amazon,Online,Standard,Ethnic,SKU8791,Footwear,XXL,B053820,In Transit,4,USD,4884.78,New Brucestad,South Dakota,44752,USA,,No,Amazon
62,ORD100062,2025-04-21 23:29:26,Pending,Merchant,Offline,Standard,Sports,SKU3807,Accessories,XL,B056517,Returned,1,USD,4837.38,Danielberg,Alabama,54476,India,PROMO10,No,Seller
63,ORD100063,2024-08-21 05:23:38,Shipped,Amazon,Offline,Expedited,Formal,SKU4460,Clothing,L,B027728,Delayed,3,INR,2376.21,South Amandafurt,Illinois,60910,India,PROMO30,No,Amazon
64,ORD100064,2024-01-06 13:10:32,Pending,Merchant,Offline,Same Day,Formal,SKU7412,Footwear,XL,B034885,Returned,1,INR,1687.59,Lisafurt,South Dakota,86925,India,PROMO30,No,Amazon
65,ORD100065,2024-05-10 20:31:21,Pending,Merchant,Online,Expedited,Formal,SKU8421,Footwear,XL,B044503,In Transit,3,USD,1691.35,East Timothy,California,65751,USA,PROMO10,Yes,Seller
66,ORD100066,2024-08-29 01:35:42,Cancelled,Merchant,Offline,Same Day,Ethnic,SKU8936,Electronics,L,B041882,Delayed,3,INR,4253.29,Jayborough,Wyoming,97454,India,PROMO10,No,Amazon
67,ORD100067,2025-04-13 12:25:36,Cancelled,Merchant,Offline,Expedited,Ethnic,SKU7479,Footwear,S,B069649,Delayed,2,USD,991.93,Kristenland,Florida,80735,USA,PROMO30,Yes,Seller
68,ORD100068,2024-03-25 08:11:40,Pending,Merchant,Online,Same Day,Casual,SKU1074,Electronics,M,B024167,Delayed,1,USD,3871.82,West Garyfurt,Maryland,01100,USA,PROMO20,Yes,Amazon
69,ORD100069,2024-11-11 01:49:55,Pending,Merchant,Offline,Standard,Casual,SKU7954,Footwear,M,B053998,In Transit,4,USD,4450.47,East Michael,Hawaii,70808,India,PROMO20,No,Seller
70,ORD100070,2023-04-26 23:49:31,Cancelled,Amazon,Online,Expedited,Casual,SKU9108,Footwear,M,B033885,In Transit,4,INR,3288.36,Jimenezberg,New Hampshire,50033,USA,PROMO10,Yes,Amazon
71,ORD100071,2023-05-29 10:12:20,Cancelled,Merchant,Online,Same Day,Casual,SKU3511,Electronics,M,B070993,Returned,5,INR,4614.24,Port Albert,Massachusetts,20980,USA,PROMO20,Yes,Amazon
72,ORD100072,2023-06-16 09:55:54,Cancelled,Amazon,Offline,Expedited,Sports,SKU9711,Electronics,XL,B084657,Delayed,1,USD,4888.21,North Kristiside,Montana,80149,USA,,No,Seller
73,ORD100073,2024-09-27 11:14:23,Cancelled,Merchant,Online,Expedited,Formal,SKU3368,Electronics,XL,B041471,In Transit,1,USD,1001.52,Mollyborough,Minnesota,32830,India,PROMO10,No,Amazon
74,ORD100074,2024-03-08 06:10:37,Shipped,Merchant,Online,Expedited,Formal,SKU6945,Footwear,M,B086314,Delivered,2,INR,421.58,Virginiamouth,Georgia,26558,India,PROMO30,Yes,Seller
75,ORD100075,2023-12-05 00:08:40,Pending,Amazon,Online,Standard,Casual,SKU3702,Accessories,M,B067165,Delivered,3,INR,3239.75,South Gwendolynland,Kansas,34119,USA,,No,Seller
76,ORD100076,2023-09-05 05:29:40,Cancelled,Amazon,Offline,Standard,Sports,SKU8521,Clothing,M,B049682,In Transit,5,INR,3441.52,South Christopherbury,Montana,02261,India,,Yes,Seller
77,ORD100077,2024-12-18 19:32:18,Pending,Merchant,Online,Expedited,Casual,SKU1279,Electronics,M,B065105,Delivered,4,USD,2625.95,Cortezchester,Tennessee,49978,India,PROMO20,Yes,Seller
78,ORD100078,2023-11-15 17:10:08,Cancelled,Amazon,Online,Same Day,Sports,SKU8331,Electronics,L,B088447,In Transit,3,USD,3353.51,South Wanda,Indiana,69113,India,PROMO20,Yes,Amazon
79,ORD100079,2025-01-24 01:36:09,Shipped,Merchant,Offline,Standard,Ethnic,SKU3545,Clothing,XXL,B074613,Returned,4,INR,2849.17,Merrittchester,Nebraska,49072,USA,PROMO30,Yes,Amazon
80,ORD100080,2024-11-12 03:24:15,Pending,Merchant,Offline,Standard,Sports,SKU1379,Footwear,XXL,B019970,Delivered,4,INR,2425.4,New Kimberly,Colorado,80819,USA,PROMO10,No,Seller
81,ORD100081,2023-07-03 02:10:11,Cancelled,Amazon,Offline,Same Day,Casual,SKU9666,Accessories,L,B036459,Delivered,2,INR,2731.67,Lake Jasonstad,Maine,22027,India,,Yes,Amazon
82,ORD100082,2024-03-16 07:09:52,Pending,Amazon,Offline,Same Day,Formal,SKU5936,Clothing,L,B089226,In Transit,1,INR,3962.73,East Carmenmouth,Georgia,92670,USA,PROMO20,No,Seller
83,ORD100083,2024-02-05 07:32:07,Cancelled,Merchant,Offline,Same Day,Sports,SKU3083,Footwear,S,B026048,Delivered,2,USD,4178.34,Brittneybury,Arkansas,46508,USA,PROMO10,Yes,Amazon
84,ORD100084,2024-03-21 19:30:31,Pending,Merchant,Online,Expedited,Ethnic,SKU5579,Accessories,S,B023518,Delivered,1,INR,3914.87,East Michael,Wisconsin,21781,USA,,Yes,Amazon
85,ORD100085,2024-10-02 08:44:29,Cancelled,Amazon,Online,Expedited,Formal,SKU7919,Accessories,XL,B034990,Returned,3,USD,3848.84,Johnhaven,Maryland,51018,India,PROMO30,No,Amazon
86,ORD100086,2024-08-15 08:44:53,Pending,Merchant,Online,Standard,Ethnic,SKU2053,Accessories,M,B053018,Delayed,5,USD,3964.5,West Scott,Montana,41939,USA,PROMO30,No,Seller
87,ORD100087,2024-01-24 11:42:42,Pending,Merchant,Offline,Same Day,Casual,SKU7062,Footwear,S,B019614,Returned,3,USD,2490.71,Mccarthyburgh,Hawaii,84208,India,PROMO20,Yes,Seller
88,ORD100088,2023-04-28 04:06:43,Pending,Amazon,Online,Same Day,Formal,SKU1143,Accessories,XXL,B078713,Delivered,3,INR,4807.83,Lake Douglas,Indiana,04802,India,PROMO10,No,Seller
89,ORD100089,2024-01-03 17:20:04,Shipped,Amazon,Online,Standard,Sports,SKU9341,Electronics,XXL,B059678,Delivered,2,INR,2119.71,Savageshire,New Jersey,81319,India,PROMO20,No,Amazon
90,ORD100090,2023-08-01 18:26:12,Pending,Amazon,Online,Expedited,Casual,SKU5391,Footwear,L,B094597,Delivered,3,USD,4435.51,New Lori,North Carolina,38280,India,PROMO10,Yes,Amazon
91,ORD100091,2023-10-18 03:07:55,Pending,Amazon,Offline,Same Day,Ethnic,SKU2475,Footwear,L,B087537,Delivered,1,USD,4727.9,West Daniel,California,37438,USA,PROMO10,Yes,Seller
92,ORD100092,2023-08-24 23:15:39,Pending,Merchant,Offline,Same Day,Sports,SKU5861,Electronics,XXL,B075864,Delayed,4,USD,2005.31,East Andrew,New York,67432,India,PROMO30,Yes,Seller
93,ORD100093,2024-06-08 22:17:01,Shipped,Amazon,Offline,Expedited,Formal,SKU6262,Footwear,XXL,B075393,Delivered,3,USD,883.25,North Jacqueline,Michigan,52914,USA,PROMO30,No,Seller
94,ORD100094,2024-07-19 00:28:16,Cancelled,Amazon,Offline,Standard,Formal,SKU1217,Electronics,XXL,B074066,Delayed,4,USD,2052.19,Andersonmouth,Hawaii,59560,India,PROMO20,No,Seller
95,ORD100095,2024-07-11 20:16:03,Pending,Merchant,Online,Standard,Casual,SKU9264,Accessories,XL,B082788,In Transit,4,USD,2749.43,Chadbury,North Carolina,98735,USA,PROMO30,Yes,Seller
96,ORD100096,2023-08-31 18:33:11,Cancelled,Amazon,Online,Expedited,Sports,SKU9714,Electronics,S,B027009,Delayed,2,USD,1347.52,North Pamela,Idaho,26598,USA,PROMO10,Yes,Amazon
97,ORD100097,2024-05-27 21:00:54,Pending,Merchant,Offline,Expedited,Formal,SKU8079,Electronics,M,B012852,Delayed,3,INR,3993.5,North Sarahshire,Oklahoma,98574,India,,Yes,Amazon
98,ORD100098,2024-08-09 23:02:58,Shipped,Merchant,Offline,Expedited,Ethnic,SKU9059,Accessories,L,B033550,Delayed,1,INR,1315.84,Stephanieview,Colorado,03812,USA,,No,Amazon
99,ORD100099,2023-08-15 15:32:23,Cancelled,Amazon,Online,Standard,Sports,SKU3444,Clothing,M,B090222,Delivered,4,USD,3853.62,Port Allison,Alaska,01867,USA,PROMO20,No,Seller
100,ORD100100,2024-03-31 12:59:26,Cancelled,Merchant,Offline,Standard,Formal,SKU6110,Footwear,M,B042759,Delayed,3,USD,3648.44,Kristaborough,Mississippi,95952,India,PROMO30,No,Seller
101,ORD100101,2024-07-11 10:13:51,Pending,Merchant,Online,Standard,Sports,SKU1092,Footwear,M,B028784,In Transit,5,USD,3353.74,Lake Jenna,Georgia,32089,India,PROMO30,No,Amazon
102,ORD100102,2024-09-01 02:19:46,Shipped,Merchant,Online,Standard,Sports,SKU9896,Electronics,S,B092913,Returned,2,USD,1900.35,Yeseniaborough,Nebraska,68311,India,,Yes,Amazon
103,ORD100103,2025-02-02 15:04:38,Shipped,Merchant,Offline,Same Day,Ethnic,SKU5847,Clothing,L,B098104,In Transit,3,USD,2453.82,Lake Donna,Louisiana,31093,India,,No,Amazon
104,ORD100104,2023-11-13 01:04:03,Cancelled,Amazon,Online,Expedited,Casual,SKU6125,Electronics,M,B064160,In Transit,2,USD,1939.82,Laurieborough,New Hampshire,12226,USA,PROMO30,No,Seller
105,ORD100105,2024-11-22 13:49:16,Shipped,Merchant,Offline,Same Day,Casual,SKU9536,Footwear,L,B096827,Delivered,3,INR,244.01,South Joseph,Rhode Island,14310,India,,Yes,Amazon
106,ORD100106,2025-03-20 21:07:28,Shipped,Merchant,Offline,Expedited,Casual,SKU5611,Electronics,S,B094541,Delivered,5,INR,1006.18,Kennethshire,Minnesota,31463,India,PROMO20,No,Seller
107,ORD100107,2024-05-06 00:52:51,Shipped,Merchant,Online,Same Day,Ethnic,SKU5023,Footwear,XL,B061132,Delivered,1,INR,3782.2,East Richard,Alaska,57176,USA,PROMO20,Yes,Amazon
108,ORD100108,2025-03-16 01:58:41,Cancelled,Amazon,Offline,Expedited,Casual,SKU3420,Clothing,S,B094830,Delayed,2,USD,206.7,New Ashley,Massachusetts,94144,India,PROMO10,No,Amazon
109,ORD100109,2025-02-10 17:57:00,Cancelled,Merchant,Offline,Standard,Formal,SKU4801,Clothing,L,B041084,Returned,1,USD,4359.98,Lake Dawnland,Idaho,94944,India,PROMO30,Yes,Seller
110,ORD100110,2023-05-09 17:21:41,Pending,Amazon,Online,Standard,Casual,SKU5210,Footwear,S,B061343,Returned,5,USD,4063.0,Maddenmouth,California,26128,India,PROMO10,Yes,Amazon
111,ORD100111,2023-05-22 01:03:52,Pending,Merchant,Offline,Expedited,Casual,SKU8350,Clothing,S,B098674,Delivered,1,INR,3318.36,Port Anne,Illinois,81459,India,PROMO10,No,Amazon
112,ORD100112,2023-12-11 05:59:49,Shipped,Amazon,Offline,Same Day,Ethnic,SKU5315,Clothing,XL,B094633,Delayed,5,INR,367.63,Thomasview,Arizona,93738,USA,PROMO20,No,Seller
113,ORD100113,2024-02-09 10:23:49,Shipped,Merchant,Online,Same Day,Ethnic,SKU8970,Accessories,L,B046902,Returned,1,USD,1520.98,Rogerschester,Montana,14081,USA,PROMO30,No,Amazon
114,ORD100114,2025-02-05 03:51:33,Shipped,Merchant,Online,Standard,Sports,SKU9334,Clothing,L,B023533,Delayed,3,USD,2179.28,Michaelview,Hawaii,52927,India,,Yes,Seller
115,ORD100115,2023-11-05 05:20:29,Shipped,Amazon,Online,Expedited,Formal,SKU1901,Electronics,L,B026753,In Transit,4,USD,3992.86,Port Eric,Alabama,94480,USA,PROMO20,Yes,Seller
116,ORD100116,2024-04-19 01:24:17,Pending,Amazon,Offline,Standard,Sports,SKU5492,Electronics,XXL,B092965,In Transit,1,USD,1762.46,West Matthew,New York,72203,India,PROMO10,Yes,Amazon
117,ORD100117,2023-05-30 22:47:44,Pending,Merchant,Offline,Standard,Sports,SKU1001,Electronics,L,B016147,Delivered,3,USD,4172.76,East Scott,Oregon,63620,USA,PROMO20,No,Seller
118,ORD100118,2024-11-21 20:12:47,Cancelled,Merchant,Offline,Standard,Sports,SKU7555,Accessories,XXL,B012268,In Transit,2,INR,513.38,East Loganview,Massachusetts,83762,India,PROMO30,No,Amazon
119,ORD100119,2024-07-18 15:03:27,Cancelled,Merchant,Online,Same Day,Casual,SKU6689,Electronics,XL,B048666,Delivered,5,INR,4153.77,West Kyle,Illinois,73562,India,PROMO20,Yes,Seller
120,ORD100120,2024-10-28 09:28:18,Cancelled,Merchant,Online,Same Day,Sports,SKU2265,Clothing,L,B082215,Returned,4,USD,2527.14,East Craig,Maine,35006,USA,PROMO20,No,Seller
121,ORD100121,2024-06-27 00:40:53,Cancelled,Amazon,Offline,Same Day,Sports,SKU3020,Footwear,XXL,B027654,Delayed,2,USD,593.2,Larrytown,Colorado,32817,India,PROMO20,No,Amazon
122,ORD100122,2024-02-11 15:29:19,Shipped,Merchant,Online,Standard,Ethnic,SKU4571,Accessories,L,B048945,Delivered,5,USD,2298.72,Smithport,West Virginia,04108,India,,No,Amazon
123,ORD100123,2025-04-16 00:46:04,Pending,Merchant,Offline,Expedited,Formal,SKU9336,Footwear,XXL,B024500,In Transit,4,USD,3780.28,Janiceville,Delaware,08443,India,,Yes,Amazon
124,ORD100124,2024-09-01 00:39:24,Cancelled,Amazon,Online,Expedited,Ethnic,SKU9492,Electronics,S,B074027,In Transit,5,USD,2749.45,Washingtonbury,New Hampshire,34298,USA,PROMO30,No,Seller
125,ORD100125,2023-06-02 06:45:45,Pending,Amazon,Offline,Expedited,Formal,SKU5924,Footwear,XXL,B096096,In Transit,3,INR,1298.71,Larryberg,Montana,16753,USA,PROMO20,Yes,Seller
126,ORD100126,2023-09-19 18:01:12,Shipped,Merchant,Online,Standard,Casual,SKU3020,Clothing,L,B089028,In Transit,5,USD,300.91,South Carol,Rhode Island,30835,India,PROMO30,Yes,Amazon
127,ORD100127,2023-08-10 04:43:26,Pending,Amazon,Online,Same Day,Sports,SKU5042,Accessories,S,B019855,Delivered,2,USD,3433.68,Irwinview,Idaho,14298,India,PROMO20,Yes,Seller
128,ORD100128,2024-02-10 21:12:47,Pending,Amazon,Offline,Standard,Sports,SKU3250,Electronics,S,B012955,Returned,5,INR,3330.92,North Benjamin,Florida,72594,USA,,No,Seller
129,ORD100129,2024-07-28 02:29:37,Shipped,Amazon,Offline,Same Day,Casual,SKU7090,Clothing,XL,B029734,Delayed,5,USD,4614.23,Loritown,South Carolina,19583,India,,No,Seller
130,ORD100130,2023-08-06 11:40:29,Cancelled,Merchant,Online,Expedited,Sports,SKU7604,Footwear,XL,B078719,Returned,2,INR,2922.93,New Randyville,New Jersey,81910,India,,Yes,Amazon
